Hotel_Name,Average_Score,Hotel_Address,Review_Date,Postal_Code,City,lat,lng,Clean_Tags,Positive_Review,Negative_Review
Hilton London Euston,7.4,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,7/11/2017,WC1H 0HT,London,51.5265189,-0.1303689,"Leisure trip, Couple, Double Guest Room, Stayed 1 night","Staff were lovely breakfast had a good selection room was spacious and the bed was very comfortable Easy access to all amenities perfect for our requirements, Location cleanliness, Breakfast was good although Tea was weak as it always is in hotels i just expected the Hilton to get that right never mind the overall stay was fantastic","Chiming from a local clock every 15mins but even this seemed to cease during the early hours, Reception staff seem to have problems booking people in ie couldn t find our name and told us we weren t booked in before checking system properly Not just us Also front rooms seem to have too much traffic noise, Gym wasn t available"
Hilton London Green Park,7.3,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,8/2/2017,W1J 7BN,London,51.5064534,-0.1456146,"Leisure trip, Group, Twin Hilton Deluxe Room, Stayed 2 nights, Submitted from a mobile device","Breakfast lots of choice and great service, We were welcomed very well and on mentioning that it was my wife s birthday along came a cake and champagne which was a wonderful start to our two days in London Wonderful receptionist, Comfy bed Spacious bathroom Delicious breakfast fresh omelette was delicious","The room was an upgrade to a better room and although the room was great it was a little bit battered around the edges chipped paintwork and a stained sink, , Link doors meant you could hear the occupants of the next room quite clearly"
Hilton London Hyde Park,7.8,129 Bayswater Road London W2 4RJ United Kingdom,1/3/2016,W2 4RJ,London,51.51046,-0.1875844,"Leisure trip, Couple, Queen Guestroom, Stayed 1 night, Submitted from a mobile device","The layout of the room was clean and was walking distance to near by tube stations, Friendly staff and very accommodating upgraded our room for my husbands Birthday no extra charge Birthday message and chocolates given as well Breakfast good location great, Friendly staff and in a great place We were able to leave our bags at the hotel during the day after check out with no problems too which made our day much easier We got this room reduced with a deal online so we felt it was great value for money","Bed was a little too hard but that s just own personal preference, I was surprised to have to pay a deposit as as far as I know this was not mentioned on the site I booked the room on It was fine on this occasion as I had a credit card with me but it would have been a substantial chunk of our spending money otherwise, Concierge they need more men as it was awkward to have women in high heels lifting heavy suitcases"
Hilton London Kensington Hotel,7.8,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,8/2/2017,W11 4UL,London,51.5051084,-0.213266,"Leisure trip, Couple, Double Hilton Guestroom, Stayed 1 night","Very good breakfast buffet attentive and friendly service in the bar Everyone very helpful, The check in was very welcoming and personal Great location and easy walking to Notting Hill Portobello Market Hyde Park Shopping Centre, The staff were excellent but we were in an executive room and the only information was given by the reception staff and it was hard to remember all the information A leaflet in the room explaining the use of the Executive Lounge would have been good We had a problem with the food order in the bar but were given our meal as recompense","Tiny quibble but on floor signage to rooms uses pale colours on other pale colours not easily visible, My bed was placed beside the bathroom wall and I was woken several times by flushing water noise from other rooms should of had my ear plugs, Bedrooms need updating and decorating"
Hilton London Metropole,7.5,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,7/13/2017,W2 1JU,London,51.5195688,-0.170521,"Leisure trip, Group, Twin Hilton Guest Room, Stayed 1 night, Submitted from a mobile device","Mohamadou who checked us in was very loverly and friendly and made us feel very welcome We also got a decent upgrade for a reasonable price from Paige Great value for money All the staff we interacted with were great helpful and friendly, Service was fantastic The concierge met us from our taxi and got my son a bottle of water straight away as he noticed he was looking a little hot All staff were polite and there was no queue for breakfast even though they were serving lots of people, Breakfast was excellent and the views over London from the bar on the 23rd floor were spectacular The swimming pool sauna and steam room were a real bonus","The Ethernet wasn t working so we couldn t listen to anything on our speakers The bed was so creaky every time we sat on it we thought someone was knocking the door One last minor we asked for a late check out when booking the room and I understand it was subject to availability but we were travelling a long long way next day and our request wasn t bought up and we were refused No biggie really except we were soooooo tired, The swimming pool area looks a little tired and I had to use the family toilet to change my handicapped son which was a little awkward as they have no lockers So I then had to carry all our clothes with son in tow through to the lockers in the changing rooms Someone hasn t though this through, Not enough tea and coffee etc in the room considering there were 3 of us we were only given 2 of everything But staff quick to deliver more to our door upon request"
Hilton London Olympia,7.4,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,8/2/2017,W14 8NL,London,51.4967399,-0.2064723,"Leisure trip, Couple, Double Guest Room, Stayed 2 nights, Submitted from a mobile device","Excellent location for Olympia Friendly and helpful staff Comfortable room, Bed and pillows very comfy Was very pleased that the room had iron ironing board and hairdryer, The room was extremely comfortable beds were just right and the facilities ideal The restaurant is very well appointed and pleasant","Storage space a little short in room Very high price for a mid level hotel, View could have been a little better but the room was very nice spacious clean and had a good size bathroom with everything we needed, The provision of tea and coffee in the room cold have been a little more generous While it is good to know the restaurant staff are keen to attend to the guests need personally I did not feel it was necessary to be asked about the quality of beverages food and service by no fewer than six staff The involvement of so many staff may explain one or two slight delays in the service"
Hilton London Paddington,8.2,146 Praed Street Westminster Borough London W2 1EE United Kingdom,8/2/2017,W2 1EE,London,51.515632,-0.175737,"Leisure trip, Solo traveler, Double Guest Room, Stayed 1 night","It s a lovely old fashioned grand hotel with a lot of period features retained Staff were very friendly and helpful from check in to check out Nice breakfast in the morning too, Just a great place to stay for London Nice hotel with access to our own mainline station to travel in and out of London and also access to the rest of London, We had a really good night s sleep in a quiet room on the top floor which is a bonus when staying in a hotel It is handy for the railway station and leaving luggage","Not much It is a little pricey but it s the best there is if you get in from Heathrow late, some staff a bit demure but hey that s hotels for you, The reception staff were not particularly friendly when they saw we had booked through Booking com"
Hilton London Tower Bridge,8.7,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,8/3/2017,SE1 2BY,London,51.504575,-0.082675,"Leisure trip, Group, 2 rooms, Stayed 1 night, Submitted from a mobile device","Comfy bed good shower great breakfast, The location and found the hotel has a relaxing atmosphere after a busy day in London The rooms where good size with good facilities comfortable clean, The homemade granola for breakfast in Jamie s was fabulous My room was lovely and I loved the quality of shampoo and body lotion etc","I was with 4 friends in two rooms The room with 3 people in only had one double bed and a put you up style chair bed We did complain and we re moved to a room with two bigger beds but the third bed was still the chair bed Thought the Hilton could do better especially as some families want to be together, Nothing to complain about, We didn t like the fact we couldn t use the roof terrace for a drink as it was my birthday it would have been nice to have had a drink up there in the superb weather we had but that s my only negative"
Hilton London Wembley,8.8,Lakeside Way Brent London HA9 0BU United Kingdom,8/3/2017,HA9 0BU,London,51.5576962,-0.2835263,"Leisure trip, Couple, King Guest Room, Stayed 2 nights, Submitted from a mobile device","The staff were so nice and the breakfast was delicious and our bed was super big and super comfortable, service was great doorman really good and receptionist also Mohan in dinning room was exceptional and location perfect for daughters graduation at Wembley, The staff were very friendly and did everything possible to help The hotel is clean and the rooms spacious and beautifully decorated The location is ideal although it is out of central London there is a station close by with regular services","The swimming pool wasn t as clean as I thought it would be but everything else was amazing, Aircon not up to the job 3 people in the room on full was still warm but hotel provided us with a fan and room did smell a bit damp otherwise perfect, Parking was more expensive than I thought although it was validated by hotel even though I left a day early was charged forv2 days stay"
Holiday Inn London Bloomsbury,8.2,Coram Street Camden London WC1N 1HT United Kingdom,8/2/2017,WC1N 1HT,London,51.5241248,-0.1258066,"Leisure trip, Couple, Standard Double Room, Stayed 2 nights, Submitted from a mobile device","From check in at reception though to us checking out all staff very friendly extremely helpful Breakfast was very good various hot and cold items to choose from again staff very helpful and obliging, Brilliant central location Easy walk to British Museum Covent Garden Soho theatres Plenty of restaurants pubs and cafes nearby I ve stayed here many times Can walk or bus from St Pancras Good wifi, The beds were very comfortable I am a disabled person who walks with need of a rollator the room was as reguested with the biggest bathroom I have ever had in any hotel A lovely big bedroom with plenty of room to move about great wardrobe and draw space for clothing This hotel was in a good area and easy for myself and my granddaughter who accompanied me to attend my grandsons MA graduation in the near by university There is a very nice shopping centre with coffee shops restaurants etc Just a tiny walk from the hotel We were very pleased with this hotel and hope the next Holiday Inn we will be stopping at in Vauxhall because this is near my grandsons home will be as good Full marks for all from both of us Carol and Ally Fryer","Room and bathroom slightly bigger, Everything was ok for me, No complaints at all"
Holiday Inn London Brent Cross,7.9,Tilling Road London NW2 1LP United Kingdom,7/11/2017,NW2 1LP,London,51.5731061,-0.2233332,"Business trip, Solo traveler, One Bed Feature Room, Stayed 1 night","The bed and pillows were comfortable and the room was the perfect temperature I had a very good nights sleep, Staff were very friendly Breakfast was brilliant, Excellent staff and quality of food was really good taste wise and presentation wise","The only gripe was that the checking out was very slow, The view from our window was what looked like a waste ground Bathroom could have been doing with a bit of detail cleaning, Access was rather difficult to find and a few more signs to indicate would help We drove round several times before actually finding the way in"
Holiday Inn London Camden Lock,8.6,30 Jamestown Road Camden London NW1 7BY United Kingdom,8/2/2017,NW1 7BY,London,51.5404555,-0.1460833,"Leisure trip, Couple, Double Room, Stayed 2 nights, Submitted from a mobile device","Very close to Camden Lock and Market Excellent facilities rooms were spotless and helpful friendly staff This was our first time stopping at a Holiday Inn and we re definitely going to be stopping there more often, Bed was really comfortable had a lovely little note from housekeeping that made me smile everything was clean staff were polite and friendly hotel is in a great location Would happily stay here again, The room was great The location was exactly what I wanted I would go back","Was a bit expensive but that s a given in London, Wifi could do with being a bit stronger but wasn t terrible, I always drink too much coffee It was great to have a kettle but would have liked more coffee and milk"
Holiday Inn London Kensington,7.8,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,8/2/2017,W8 5SP,London,51.499981,-0.1928791,"Leisure trip, Couple, Standard King Room Non Smoking, Stayed 1 night, Submitted from a mobile device","Very friendly staff from reception to cleaning team Comfortable bed and lovely shower We really needed a break both working 3 children to have time together in such a warm atmosphere was wonderful thank you, We liked the location and ease of transport from Somerset to here to Science Museum We found rooms comfortable and clean Staff helpful Information easily available at hotel for forward travel and local sights, The stay in the hotel","There was nothing we didn t like, Swimming pool extra cost and breakfast we found expensive and chose to eat out, When I checked in I just wanted to get to london film and comic con event and the reception staff give me too much information I just wanted to get to event"
Holiday Inn London Kensington Forum,7.8,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,8/3/2017,SW7 4DN,London,51.4942305,-0.1851141,"Leisure trip, Couple, Twin Room Non Smoking, Stayed 3 nights","The beds were comfy and the view from the window was an unexpected bonus, The location of the hotel is great and the staff very helpful friendly and professional Like most traveller s you do not spend a lot of time in the hotel as you are always out and about but it is so nice to have somewhere clean comfortable and welcoming to come back to The bed s are really comfortable all facilities working perfectly and it was nice to have a fridge in the room to keep your water and maybe a little fizz cool, Staff were really friendly and welcoming We had a meal at the restaurant on site and the food was excellent The location is just a 5 miniute walk to shops and restaurants and the tube station","Bathroom was too small and only one hook to hang anything up which was very close to the toilet Water drained out too slowly down the plug hole when having a shower, I stayed in July and it was very hot in London the only gripe I have is with the air conditioning in the room it is pre set so you cannot change it would have been so nice to have been able to set it cooler for a while, Sliding door and no lock on the very small bathroom in our room No fan in the bathroom either Would have expected an executive room to have a better bathroom"
Holiday Inn London Mayfair,8.0,3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,7/21/2017,W1J 8NE,London,51.507746,-0.1422993,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 2 nights, Submitted from a mobile device","Staff all very helpful and friendly Housekeeping staff did a great job every day I mentioned the trip was for my daughter s birthday and they delivered a birthday cake and juice Restaurant helpful in making off the menu gluten free meal for my son who is coeliac Location is fantastic Green Park tube station is opposite the Palace is only a few minutes walk away restaurants and shops on the doorstep Stop for hop on and off bus trips was opposite side of the street, The hotel staff were very helpful and professional Our room was a good size very clean and the bed was very comfortable Great have a fridge in our room along with tea and coffee facilities The air conditioner help keep our room nice and cool The breakfast selection was excellent The hotel was ideal for our 4 night stay, The staff were all helpful and friendly the public areas and room were very clean","The corridor decor was a little tired and would benefit from being a bit brighter freshened up, The shower in our bathroom wasn t the best and the room was a bit dated Having said that our next visit to London we will book the hotel again, We had stayed in this hotel before so we knew what to expect and it was in the right location for us to visit shows concert and galleries"
Holiday Inn London Oxford Circus,7.5,57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,7/8/2017,W1G 9BL,London,51.516843,-0.1495574,"Leisure trip, Group, Twin Room, Stayed 2 nights, Submitted from a mobile device","It is very central and we have stayed there before stay every year at this time, The breakfast was excellent and the staff were most helpful, I loved it there because of the Hotel and the staff for starters and it is so convenient for Oxford Street and all around I have been there before but my husband hadn t and he kept on how lovely it was It was also great to get back after we had seen a show in the evening and to be able to get a meal It was also very quiet at night so able to sleep peacefully","Fridge in room 429 didn t work and light above bed didn t work but otherwise ok, I had problems operating the shower and the shelf containing the towels was a little too high for me to reach safely Also there was no towel rail on which to hang towels after use, There was nothing I didn t like"
Holiday Inn London Regent s Park,8.2,Carburton Street Westminster Borough London W1W 5EE United Kingdom,8/3/2017,W1W 5EE,London,51.5222472,-0.1426128,"Couple, Standard Twin Room, Stayed 2 nights, Submitted from a mobile device","Location Lots of restaurants nearby but the hotel was quiet Area was lively but not just full of tourists, Good location Very comfortable clean rooms Nice English breakfast buffet Friendly staff, Staff extremely kind and helpful I am a bit disabled and everyone did their best to help me I would thoroughly recommend this hotels","Without paying a lot more I don t think you would get much better, Parking extra 40 per day and room rates high but I guess thats just central London for you, Nothing to dislike"
Holiday Inn London Stratford City,8.7,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,8/3/2017,E20 1GL,London,51.5426054,-0.0072708,"Leisure trip, Group, Queen Room Non Smoking, Stayed 3 nights","Close proximity to rail services shops and restaurants as well as start point for Ride London Staff were friendly and helpful AirCon in room was very welcome, Breakfast and dinner were beautiful good menu choice Staff always very friendly and helpful, Great location clean modern and comfortable","Can t think of anything negative to say Very good experience, Toilets on Reception Level 3 the bins were always overflowing with paper towels, WiFi was almost impossible to access and took several hours to resolve which is stressful as a business traveller Food was at best average"
Holiday Inn London Wembley,8.3,Empire Way Wembley Brent London HA9 8DS United Kingdom,7/18/2017,HA9 8DS,London,51.5590955,-0.284704,"Leisure trip, Couple, Queen Room, Stayed 1 night","Hotel was within walking distance of an abundence of facilities of a wide variety The hotel its self was very welcoming and had a really nice atmosphere Simple check in complimentary bottled water chocolate bars with the room which is a nice touch The hotel had a pool also The parking was good value especially in comparison with previous experiences Plenty of parking available Overall a great stay, Bed was too soft for my liking Room was in good order I asked for a high and quiet room and holiday inn came up trumps, Service was in the restaurant was great and the salmon dish wonderful","Shower head was loose in the room The car park is only 1 76m in places and being 2 0 m I hit my head a few times ouch The condition of the underground car park is reaching the end of its life towards the Wembley stadium end and should be fenced off as one car suffered bonnet scratches from falling concrete from the underground roof, I needed to leave my small cabin case to be stored so I could visit Madam Tussuds and they refused to store it so I was unable to visit the museum which was one of the main reasons for going to London I couldn t go sight seeing either because of the difficulty pulling along a case The manager made no effort to help me with this, The price of the room fluctuated greatly Friday night the room was 529 Saturday was 649 Sunday night was 129 this was due r Adele performing or not as it turned out"
Holiday Inn London West,8.1,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,8/3/2017,W3 6RT,London,51.5210117,-0.2628618,"Leisure trip, Couple, Executive Double Room, Stayed 1 night","executive room was excellent very comfortable and clean enjoyed our stay, The hotel was really really awesome like 4 5 stars everywhere clean and tidy all furniture is new and modern staff very friendly wifi top level I will book in the future again Everything was perfect, Really nice place to stay friendly helpful staff and close to the tube We will stay again next time we re in the area","arrived at 2p m checked in only to find room hadn t been serviced yet asked receptionist when it will be ready she couldn t give me an answer to how long my wife and i had to sit and wait for half an hour before finally being told room was ready, everything was perfect, A bit expensive but hey it s only money"
Holiday Inn London Whitechapel,8.5,5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,8/2/2017,E1 2BP,London,51.5154006,-0.0572364,"Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device","The staff were really friendly We were there for the Ride London and they were very helpful The room was a good size and clean We left too early for breakfast but the restaurant looked nice, Nice room, The staff were very friendly the hotel and room was lovely and modern and there were more facilities than I expected","The area seemed a little rough but it was an excellent location for the Olympic Park, Overall this is a good hotel but food in the restaurant is limited and the check in process was slow especially after a long days work still wouldn t put me off staying here again though, The area around the hotel is a bit shady"
Hotel 55,8.5,Hanger Lane Ealing London W5 3HL United Kingdom,8/2/2017,W5 3HL,London,51.5213303,-0.2915052,"Leisure trip, Couple, Double Room with Street View, Stayed 3 nights, Submitted from a mobile device","The position of this hotel was perfect Right next to the tube station off licenses restaurants and cafes It is along the picadilly tube line so it is a quick and easy journey into Central London Could not have picked a better hotel for position price quality and also the fantastic staff, The room was finished to a high standard the staff very helpful and friendly Sadly the restaurant was closed however we ate out instead The parking onsite was fantastic and the hotel location was just what we wanted as very near to station, Really good location Really friendly staff Adjoining Japanese restaurant was a really good start to the break","A little hot in the rooms and air con was very noisey Missing price list for mini bar No hotel information in room so almost missed breakfast, I feel breakfast should have been included, Parking on site is extremely limited for the number of rooms available"
Hotel 82 London,7.5,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,11/7/2015,W1U 6HN,London,51.5195857,-0.1584803,"Leisure trip, Couple, Superior Double or Twin Room, Stayed 2 nights","very good location Staff very friendly very stylish it feels as though they have tried very hard, Friendly helpful staff Could leave luggage during day Comfortable bed quiet room, The staff were fantastic nothing was too much trouble The location was excellent walking distance to many major attractions Clean and comfortable","No kettle we had cups biscuits so a little strange No plug for the bath, Frankfurter sausage served with scrambled egg and beans for breakfast If you want to offer an English breakfast get some proper English sausages, Would have given excellent rating with a working bedside reading light and kettle apparently missing"
Hotel Cafe Royal,9.3,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,7/18/2017,W1B 4DY,London,51.5100916,-0.1359431,"Leisure trip, Couple, Grand Superior King or Twin Room, Stayed 4 nights","Breakfast was good Didn t care for the first room we were offered but the second we were allocated was first class Concierge staff and porters were most helpful The food was good but expensive, An absolutely exceptional hotel with the most professional staff that we have encountered anywhere in the world An absolute pleasure to stay in this excellent hotel, Staff very good We especially enjoyed what I took to be the head waiter big guy with a beard in the green room Took a lot of care and knew how to be friendly without sitting down and chatting Everyone was good though","I found all the wood panelling in the hallways overpowering and whilst we deliberately booked a room with Portland stone finish we were upgraded to what was essentially a smaller attic room again with the over powering wood panelling and slopes to one wall because of the roof Got moved to what was supposed to be not so good a room but in actual fact was a much nicer one with Portland stone type finishes The first one was smaller and wasted a lot of space with the hallway and bathroom The second one struck just the right balance in terms of layout I also dislike service charge being added automatically and it was 12 5, Weird service charges only a couple of quid why It wasn t a problem really but weird, The staff were too accommodating in that they were always there asking you if you wanted anything I felt like I needed some time and space to relax"
Hotel Cavendish,6.4,75 Gower Street Camden London WC1E 6HJ United Kingdom,8/2/2017,WC1E 6HJ,London,51.5220522,-0.132414,"Leisure trip, Group, Double Room, Stayed 3 nights","The hotel is placed excellently as it is surrounded by 3 tube stations on different lines and is easily in walking distance of The British Museum and not far from Leicester Square either if you don t mind a stroll We even walked to King s Cross Station from the hotel The staff were really helpful and allowed us to leave our luggage in reception the day we arrived whilst we went exploring the city and offered to hold our luggage on the day we left as well Breakfast was pleasant and the staff were happy to assist Our room was situated at the back of the property and so there was little noise considering the road the hotel is on Overall a pleasant stay and I would recommend it to others who are going to London and want a central but budget friendly hotel, The location was great and the hotel staff were lovely The breakfast was also nice, I visited the Cavendish with my wife last weekend we had a wonderful stay We where greeted by Omar who was very friendly and was always at hand to help and make our stay happy and relaxing and telling us the best places to go locally At breakfast the staff was ensuring we was well fed and comfortable and served a lovely English breakfast although there is a lovely choice if you prefer a choice The hotel is well placed and only a short walk from Euston Station It is within reach of all of London s famous areas to visit within a 20 minute walk or a short walk to an underground station We both found the hotel a comfortable place to stay and it was the the staff made it that way always asking are the rooms ok and comfortable I would recommend this place to stay in London it is ideal for weekend breaks Thank you Omar and the staff you do a great job at making sure our stay was a lovely one regards Ian","The bed was slightly hard for my tastes but I could still sleep on it The breakfast room is quite compact and there was people having to wait for tables at some times on the morning, There were a few areas of the room that were untidy ie the shower finishings and a little dusty in some areas, Unfortunately the weather was a little poor within our stay but there is not a lot that can be done about that"
Hotel Indigo London Kensington,9.1,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,7/19/2017,SW5 0EW,London,51.4920287,-0.1917801,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device","The hotel Indigo is just a few minutes walk from Earls Court Underground station making it very convenient to reach all of London s sights Our room 317 although compact was very comfortable with a large shower room There was a small fridge with complementary water soft drinks kettle with coffee tea biscuits This room was to the rear of the building so was very quiet The staff were extremely friendly and very helpful, The large shower room Chairs in room and very friendly and helpful desk staff, Room was very spacious and clean with a large super comfortable bed Lovely modern bathroom Excellent choice and variety of food at breakfast Hotel just round corner from Earls Court tube station so very convenient for access to central London","Better to pay for what you eat for breakfast rather than a standard amount Don t eat much for breakfast didn t eat in hotel, Service at breakfast was a little unorganised and slow but didn t spoil anything for us as we were not in a hurry and choice of food made up for it, Breakfast"
Hotel Indigo London Paddington,8.7,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,5/18/2017,W2 1HL,London,51.5150534,-0.1739974,"Couple, Standard Compact Double Room, Stayed 2 nights","We enjoyed our stay Very professional Good location for train travellers coming to London via Paddington Station Easy walking distance, Most of the staff friendly and helpful great location near paddington station, Room facilities everything we needed plus unexpected extras mobile phone with information on London music pod for phone fridge with water and Pepsi iron ironing board hairdryer all our needs Extremely comfortable bed and room","The room was a little small although had all the fascilities you could wish for, The guy serving us during the evening meal outside was not very friendly or much of a people person kind of guy made us move on from the hotel bar a bit earlier that we wanted to due to his attitude, Wasn t so much didn t like but room was a little cold in morning so needed to check how to warm it up but once dressed went out so not too bothersome"
Hotel Indigo London Tower Hill,9.2,142 Minories City of London London EC3N 1LS United Kingdom,8/2/2017,EC3N 1LS,London,51.5128032,-0.07586,"Leisure trip, Family with young children, Superior Double Room, Stayed 1 night","room was beautiful and clean and facilities very good Liked the mini bar idea and coffee machine, Staff and room were excellent could not have asked for better, Very helpful reception staff lovely room with good sized en suite executive room Bed very comfy very close to Aldgate underground Great location","room was a little small for families a bath would be better, Sorry but the restaurant was completely empty went somewhere else to eat as did not want to be the only ones there on a busy Friday night We wondered why no one eating there Maybe everyone was thinking the same as us, Was quite dusty between shower and shelving unit which was the only place we found a problem"
Hotel La Place,7.6,17 Nottingham Place Westminster Borough London W1U 5LG United Kingdom,5/14/2017,W1U 5LG,London,51.5215257,-0.1533039,"Leisure trip, Solo traveler, Single Room, Stayed 1 night","The hotel is very close to an underground station giving great access and with an array of different types of restaurants within a few minutes walk made it ideal also being on a quite road means you get a good nights sleep in the comfortable bed and being able to sit downstairs and relax with a drink is an added bonus but above all the staff were great pleasant and knowledgeable, Staff friendly and great value for money for central London bed was comfortable and good wifi, Very good position excellent breakfast and all the staff most friendly and helpful also a quiet location despite being near busy roads","Nothing, The breakfast contained boiled mushrooms which I do not like and the radiators were difficult to control, For what we paid and the location I wouldn t expect more"
Hotel Moonlight,9.0,9 Knaresborough Place Kensington and Chelsea London SW5 0TP United Kingdom,8/3/2017,SW5 0TP,London,51.4940285,-0.1910497,"Leisure trip, Couple, Deluxe Double Room, Stayed 1 night","the hotel was super comfortable Clean New Fresh cozy Very frienly staff We thoroughly enjoyed a super quiet room even being in the ground florr room They also accomodated our request to stay for a super late check out at additional rate which is fair but they were fully booked and still found a solution it really helped a lot, The hotel is perfectly located with a team of staff who couldnt do enough for us Room was lovely It was clean and spacious enough for the two of us Hotel was spotlessly clean, This is a classy little hotel with a lot of thought put into guest s comfort The windows are double glazed which made the room particularly quiet for a London hotel The lobby is very small but has a large lift The room was immaculate with lots of nice extras","Genuinely didnt not like anything It was perfect, Our room with twin beds was smaller than we expected, Nothing its a graet Boutique Hotel highly recommended"
Hotel Xanadu,8.6,26 42 Bond Street Ealing London W5 5AA United Kingdom,7/20/2017,W5 5AA,London,51.5117907,-0.306071,"Leisure trip, Couple, Double Room, Stayed 1 night, Submitted from a mobile device","The room was inviting and bed very comfy like sliding in to a marshmallow The staff are really friendly and helpful, Really charming very helpful staff Very comfortable bed Excellent location Very clean Fabulous shower Nice pictures on walls Staff brought an iron and board up to my room very helpfully, A contemporary clean hotel with a very comfortable bed and great in room facilities The staff were very helpful and what a great central location Wouldn t hesitate to recommend this hotel","The breakfast was disapointing as there was not alot left even thou there was still half an hour left for breakfast What we did have was lovely but there was no cooked breakfast left, The main bedroom lighting was one very stark central white light, Plug sockets next to bed not for a standard 3 pin plug so couldn t use to charge phone IPad Had to use sockets by table in corner away from the bed Some of the hangers in wardrobe wouldn t hold the weight of a coat Worn from wear and tear I informed the lady at reception when checking out and she said she would have them looked at"
Hotel Xenia Autograph Collection,9.0,160 Cromwell Road Kensington Kensington and Chelsea London SW5 0TL United Kingdom,7/18/2017,SW5 0TL,London,51.4946905,-0.1910197,"Leisure trip, Family with young children, Small Double Room, Stayed 2 nights","Staff were exceptional and helped to sort out any problems Bathroom products were good and the room had everything you would need It not the staff were quick to resolve any difficulties, Design of bathroom the room although small had been thought through so we had all we needed also comfortable bed with clean crisp bedding, Service cleanliness quality of beds bedding and furnishings Lovely shower and toiletries","I booked two rooms as there were four of us One was small but perfect with a little balcony The other was too small for two people in my opinion and overlooked some pipes The safe stopped working and as soon as we told them they came to open it At the same time I asked if there was another room with a balcony We were immediately upgraded to a lovely room with a very comfortable bed and more reasonable bathroom, Room was a bit small and also didn t like the very heavy throw at the end of the bed It wasn t needed at this time of year but also too heavy to remove off the end of the bed, Do not expect a spacious room when people say they are on the small side they really are We stayed for two nights would not consider staying for a longer period due to the size I know I could probably have paid more for a larger room but felt I had paid enough Could not fault it otherwise"
Hotel du Vin Cannizaro House Wimbledon,8.4,Westside Wimbledon Common Wimbledon London SW19 4UE United Kingdom,8/2/2017,SW19 4UE,London,51.4242413,-0.2293503,"Leisure trip, Couple, Deluxe Park View, Stayed 1 night","Superb Queen Bed, Comfortable bed lovely room Hotel lovely and great location Great breakfast, The size and beauty of the room and it s surrounding views the politeness of the staff was exceptional The splendour of the hotel was greatly noted and the bed was heavenly had an amazing restful sleep","bedside lighting not strong enough for reading but that s probably my age Most people would not be bothered with the lighting in such a lovely bed, Ac was not working in our room and most of the windows couldn t open as jammed with paint They did give us a fan, Nothing"
Hyatt Regency London The Churchill,8.7,30 Portman Square Westminster Borough London W1H 7BH United Kingdom,7/18/2017,W1H 7BH,London,51.5156471,-0.1572443,"Couple, King Room, Stayed 2 nights, Submitted from a mobile device","The Regency Club membership was given as a gift for our anniversary as well as them bringing us Champane and cake for two They just surprised us Went out of there way to make us feel special on our special day, Beds were comfy and the decor was classy and tasteful All in all a nice hotel, Excellent reception and indeed all staff are there for your comfort and convenience Excellent decor and feel good factor Rooms comfortable and well insulated so we got a good nights sleep Wonderful location","The resturant my wife ordered a burger cooked medium but it came well past well done Not burned but way too tough to eat The first night there we both ordered burgers and it was one of the best we d ever had, Booking com we re supposed to cover some of the cost of the booking due to issues we had with a previous apartment I have instead been billed the full amount by the hotel I have yet to call up the Hyatt and discuss as well as booking com The weekend was going well until this happened which has left a sour taste in my mouth and i will think again before using booking com, This is more that I am used to paying BUT it was extremely comfortable and a very pleasant atmosphere No problem getting a taxi and staff do not stand around waiting for tips"
Innkeeper s Lodge London Greenwich,8.2,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,8/2/2017,SE10 8NA,London,51.4801631,-0.0097201,"Leisure trip, Group, Standard Double Room, Stayed 1 night, Submitted from a mobile device","Close to everything Even the river to catch a boat taxi to the 02 only 8 mins on there 4 each way I will be back at this place plus I will highly recommend it to friends who want to stay in Lindon, We liked the location for the venue we were visiting and the area around is vibrant with lots of shops and pubs There is a residents lounge that stays open after pub had shut, good nights sleep good breakfast cooked if you wanted it pleasant bar with plenty of atmosphere","The windows are old so sometimes they slam shut plus it would of been handy to have a small hand soap Other than that brilliant place, Pubs limited menu for a meal, needs updating on windows mirror needed on wall for drying and doing hair in bedroom bathroom shaver point not working all needs a little attention"
